Signatur,Incipit,Titel,KomponistIn,Herkunftsort KomponistIn,TexterIn,Herkunftsort TexterIn,InterpretIn,Herkunftsort InterpretIn,Dauer [min:sec],Liedarchiv-Nummer,Alte Signatur Tonband,Seite,Liednr.,Alte Signatur Track,1. Aufnahmeort,2. Herkunftort Komposition,Aufnahmedatum: Anzeige,Kompositionsdatum: Anzeige,Instrumente,Personen/Institutionen,Schlagworte,Kommentar,Objektart,Originalträger,Ist ein Teil von,Sammlung,Copyright,Ähnliche Lieder/Stücke,Erfassungsdatum
SVA_01M_002_a11,,Blandew Special,,,,,Country Ramblers,Schweiz;Zürich,2:00,,L72/2,A,11,L72/2-A11,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Banjo;Mandoline;Gitarre;Bass;Mundharmonika,Country Ramblers;Roland Ambühl;Urs von Arx;Tom Matojewsky;Erwin Bucher;Daniel Perret;Folkfestival auf der Lenzburg,,,Stück (nur Musik),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_a12,,Beaumont Rag,,,,,Country Ramblers,Schweiz;Zürich,1:25,,L72/2,A,12,L72/2-A12,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Gitarre;Bass,Country Ramblers;Roland Ambühl;Urs von Arx;Tom Matojewsky;Erwin Bucher;Daniel Perret;Folkfestival auf der Lenzburg,,,Stück (nur Musik),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_a13,"Train is a-coming, coming down the railroad line",Orange Blossom Special,,,,,Country Ramblers,Schweiz;Zürich,3:35,29702,L72/2,A,13,L72/2-A13,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Banjo;Geige;Mandoline;Gitarre,Country Ramblers;Roland Ambühl;Urs von Arx;Tom Matojewsky;Erwin Bucher;Daniel Perret;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_a14,I wish I was in London or some other seaport town,Handsome Molly,,,,,Country Ramblers,Schweiz;Zürich,2:10,29703,L72/2,A,14,L72/2-A14,Schweiz;Aargau;Lenzburg;Rittersaal,,02.07.1972,,Banjo;Geige;Mandoline;Gitarre;Bass,Country Ramblers;Roland Ambühl;Urs von Arx;Tom Matojewsky;Erwin Bucher;Daniel Perret;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_a15,Cuckoo sings a song of springtime,,,,,,Kathryn Gurewitsch;Matthew Gurewitsch,USA;Schweiz;Zürich,2:00,29704,L72/2,A,15,L72/2-A15,Schweiz;Aargau;Lenzburg;Rittersaal,,02.07.1972,,Gesang;Gitarre,Kathryn Gurewitsch;Matthew Gurewitsch;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_a16,If your memory serves you well,Wheels On Fire,Bob Dylan,USA,Bob Dylan,USA,Kathryn Gurewitsch;Matthew Gurewitsch,USA;Schweiz;Zürich,3:00,29705,L72/2,A,16,L72/2-A16,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Gesang;Gitarre,Kathryn Gurewitsch;Matthew Gurewitsch;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_a17,Frankie and Johnny were lovers,Frankie and Johnny,Hughie Cannon,USA,Hughie Cannon,USA,Kathryn Gurewitsch;Matthew Gurewitsch,USA;Schweiz;Zürich,6:20,29706,L72/2,A,17,L72/2-A17,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Gesang;Gitarre,Kathryn Gurewitsch;Matthew Gurewitsch;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_a18,Ye mariners all as you pass by,Ye Mariners All,,,,,Kathryn Gurewitsch;Matthew Gurewitsch,USA;Schweiz;Zürich,1:40,29707,L72/2,A,18,L72/2-A18,Schweiz;Aargau;Lenzburg;Rittersaal,UK;England,02.07.1972,,Gesang;Gitarre,Kathryn Gurewitsch;Matthew Gurewitsch;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_a19,By the waters of Babylon,By The Waters Of Babylon,,,,,Kathryn Gurewitsch;Matthew Gurewitsch;Gabriel,USA;Schweiz;Zürich,1:30,29708,L72/2,A,19,L72/2-A19,Schweiz;Aargau;Lenzburg;Rittersaal,UK;England,02.07.1972,,Chor,Kathryn Gurewitsch;Matthew Gurewitsch;Gabriel;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_a20,"Get you a copper kettle, get you a copper coil",Copper Kettle,Albert Frank Beddoe,USA,Albert Frank Beddoe,USA,Kathryn Gurewitsch;Matthew Gurewitsch;Gabriel,USA;Schweiz;Zürich,3:20,29709,L72/2,A,20,L72/2-A20,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Gesang;Gitarre,Kathryn Gurewitsch;Matthew Gurewitsch;Gabriel;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_a21,,,,,,,The String Band,USA;Minnesota;Minneapolis,2:20,,L72/2,A,21,L72/2-A21,Schweiz;Aargau;Lenzburg;Rittersaal,,02.07.1972,,Gesang;Banjo;Gitarre;Löffel,The String Band;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_a22,,,,,,,The String Band,USA;Minnesota;Minneapolis,2:50,,L72/2,A,22,L72/2-A22,Schweiz;Aargau;Lenzburg;Rittersaal,,02.07.1972,,Geige;Gitarre;Gesang,The String Band;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_a23,Hot corn cold corn bring along the demijohn,Hot Corn Cold Corn,,,,,The String Band,USA;Minnesota;Minneapolis,2:40,29710,L72/2,A,23,L72/2-A23,Schweiz;Aargau;Lenzburg;Rittersaal,,02.07.1972,,Gesang;Banjo;Gitarre,The String Band;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_a24,"Say, you've been fishing all the time",Fishing Blues,Chris Smith,USA,Chris Smith,USA,The String Band,USA;Minnesota;Minneapolis,3:15,29711,L72/2,A,24,L72/2-A24,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,1911,Gesang;Autoharp;Gitarre;Geige,The String Band;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_a25,Have you been meeting Joe Joe,Uncle Joe,,,,,The String Band,USA;Minnesota;Minneapolis,2:30,29712,L72/2,A,25,L72/2-A25,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Gesang;Geige;Waschbrett,The String Band;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_a26,,,,,,,The String Band,USA;Minnesota;Minneapolis,2:10,,L72/2,A,26,L72/2-A26,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Gesang;Banjo;Geige;Bass,The String Band;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_a27,"Ho, boys, gonna right?",Linin' Track,,,,,The String Band,USA;Minnesota;Minneapolis,1:50,29713,L72/2,A,27,L72/2-A27,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Maultrommel;Gesang,The String Band;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_a28,,Orange Blossom Special,,,,,The String Band,USA;Minnesota;Minneapolis,4:30,,L72/2,A,28,L72/2-A28,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Geige;Gitarre;Löffel;Sprecher,The String Band;Folkfestival auf der Lenzburg,,,Stück (nur Musik),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_a29,,,René Haueter,Schweiz;Bern,,,René Haueter,Schweiz;Bern,4:05,,L72/2,A,29,L72/2-A29,Schweiz;Aargau;Lenzburg;Rittersaal,Schweiz;Bern,02.07.1972,,Gitarre,René Haueter;Folkfestival auf der Lenzburg,,,Stück (nur Musik),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_a30,Came up to me a brisk young man and asked me,,,,,,Skibbereen,Schweiz;Zürich,3:25,29714,L72/2,A,30,L72/2-A30,Schweiz;Aargau;Lenzburg;Rittersaal,,02.07.1972,,Gesang;Gitarre;Geige;E-Bass,Skibbereen;Erwin Bucher;Roland Ambühl;Ruedi Hoppler;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_a31,,Over The Hills,,,,,Skibbereen,Schweiz;Zürich,3:55,,L72/2,A,31,L72/2-A31,Schweiz;Aargau;Lenzburg;Rittersaal,Irland,02.07.1972,,Querflöte;Gitarre;E-Bass;Löffel,Skibbereen;Erwin Bucher;Roland Ambühl;Ruedi Hoppler;Folkfestival auf der Lenzburg,,,Stück (nur Musik),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_a32,If I had another penny,Byker Hill,,,,,Skibbereen,Schweiz;Zürich,4:20,29715,L72/2,A,32,L72/2-A32,Schweiz;Aargau;Lenzburg;Rittersaal,UK;England,02.07.1972,,Gesang;Gitarre;Geige;E-Bass,Skibbereen;Erwin Bucher;Roland Ambühl;Ruedi Hoppler;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_a33,,Skibbereen,,,,,Skibbereen,Schweiz;Zürich,2:45,,L72/2,A,33,L72/2-A33,Schweiz;Aargau;Lenzburg;Rittersaal,Irland,02.07.1972,,Mandoline;Gitarre;E-Bass;Tin Whistle,Skibbereen;Erwin Bucher;Roland Ambühl;Ruedi Hoppler;Daniel Perret;Folkfestival auf der Lenzburg,,,Stück (nur Musik),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_b1,,Real Face Hornpipe,,,,,Skibbereen,Schweiz;Zürich,1:15,,L72/2,B,1,L72/2-B1,Schweiz;Aargau;Lenzburg;Rittersaal,Irland,02.07.1972,,Mandoline;Gitarre;E-Bass;Tin Whistle,Skibbereen;Erwin Bucher;Roland Ambühl;Ruedi Hoppler;Daniel Perret;Folkfestival auf der Lenzburg,,,Stück (nur Musik),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_b2,,Foggy Mountain Breakdown,Earl Scruggs,USA,,,15 Strings Band;Hervé de Sainte Foy,Frankreich;Paris,3:00,,L72/2,B,2,L72/2-B2,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,1950,Mandoline;Banjo;Gitarre,15 Strings Band;Hervé de Sainte Foy;Folkfestival auf der Lenzburg,,,Stück (nur Musik),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_b3,Left the good job in the city,Proud Mary,John Fogerty,USA,John Fogerty,USA,15 Strings Band;Hervé de Sainte Foy,Frankreich;Paris,2:45,29716,L72/2,B,3,L72/2-B3,Schweiz;Aargau;Lenzburg;Rittersaal,,02.07.1972,1968,Gesang;Gitarre;Banjo;Mandoline,15 Strings Band;Hervé de Sainte Foy;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_b4,,Mocking Banjo,Arthur Smith,USA,,,15 Strings Band;Hervé de Sainte Foy,Frankreich;Paris,2:20,,L72/2,B,4,L72/2-B4,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,1954,Mandoline;Banjo;Gitarre,15 Strings Band;Hervé de Sainte Foy;Folkfestival auf der Lenzburg,,,Stück (nur Musik),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_b5,I was born in East Virginia,East Virginia,,,,,15 Strings Band;Hervé de Sainte Foy,Frankreich;Paris,2:30,29717,L72/2,B,5,L72/2-B5,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Gesang;Gitarre;Banjo;Mandoline,15 Strings Band;Hervé de Sainte Foy;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_b6,,Shuckin' The Corn,Earl Scruggs,USA,,,15 Strings Band;Hervé de Sainte Foy,Frankreich;Paris,2:45,,L72/2,B,6,L72/2-B6,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Mandoline;Banjo;Gitarre,15 Strings Band;Hervé de Sainte Foy;Folkfestival auf der Lenzburg,,,Stück (nur Musik),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_b7,Now here's good luck to the pint pot,The Barley Mow,,,,,Dick Watts,UK;England;Zürich;Erlenbach,4:00,29718,L72/2,B,7,L72/2-B7,Schweiz;Aargau;Lenzburg;Rittersaal,UK;England,02.07.1972,,Gesang,Dick Watts;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_b8,A sailor's life is a merry life,A Sailors' Life,,,,,Dick Watts,UK;England;Zürich;Erlenbach,2:25,29719,L72/2,B,8,L72/2-B8,Schweiz;Aargau;Lenzburg;Rittersaal,UK;England,02.07.1972,,Gesang,Dick Watts;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_b9,,,,,,,Bluegrass Blossoms,Schweiz;Bern,1:00,,L72/2,B,9,L72/2-B9,Schweiz;Aargau;Lenzburg;Rittersaal,,02.07.1972,,Banjo;Mandoline;Gitarre,Bluegrass Blossoms;Hans Holzherr;Gérard Theiler;Matthias Baumann;Folkfestival auf der Lenzburg,,,Stück (nur Musik),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_b10,There's a sunny side where no ill betide,The Happy Sunny Side Of Life,Tillit S. Teddlie,USA,Tillit S. Tedlie,USA,Bluegrass Blossoms,Schweiz;Bern,2:15,29720,L72/2,B,10,L72/2-B10,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,1918,Gesang;Banjo;Mandoline;Gitarre,Bluegrass Blossoms;Hans Holzherr;Gérard Theiler;Matthias Baumann;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_b11,,Grandfather's Clock,Henry Clay Work,USA,Henry Clay Work,USA,Bluegrass Blossoms,Schweiz;Bern,2:15,,L72/2,B,11,L72/2-B11,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,1876,Banjo;Mandoline;Gitarre,Bluegrass Blossoms;Hans Holzherr;Gérard Theiler;Matthias Baumann;Folkfestival auf der Lenzburg,,,Stück (nur Musik),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_b12,I wish I was in London or some other seaport town,Handsome Molly,,,,,Bluegrass Blossoms,Schweiz;Bern,2:20,29721,L72/2,B,12,L72/2-B12,Schweiz;Aargau;Lenzburg;Rittersaal,,02.07.1972,,Gesang;Banjo;Mandoline;Gitarre,Bluegrass Blossoms;Hans Holzherr;Gérard Theiler;Matthias Baumann;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
SVA_01M_002_b13,,,,,,,Daniel Perret;Roland Ambühl,Schweiz;Zürich;Thalwil;Hinwil,5:20,,L72/2,B,13,L72/2-B13,Schweiz;Aargau;Lenzburg;Rittersaal,UK;Schottland,02.07.1972,,Dudelsack;Trommel,Daniel Perret;Roland Ambühl;Folkfestival auf der Lenzburg,,,Stück (nur Musik),Magnettonband,SVA_01M_002,SVA_01,SGV,,27.05.2020
